parameter 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
gw_pumping 718130.0427203721 706669.4923379947 705419.7675291834 705419.7675291835 704785.7274162944 697432.9595066056 697646.3311743039 682488.5071055192 647066.1231443818 671216.4534871362 674572.504585418 666222.0191935119 668656.5792393071 570492.3572103174 666328.7698648382
gw_recharge 1165650.8707016855 718125.3414770423 842170.4957530994 703620.6279006789 692694.6608879027 889236.1805291632 622384.9920367162 860871.7221591219 673177.4776071453 945941.6429726825 762481.5449318133 645571.5881669355 785307.617009889 482346.9338279054 771424.4482320414
sw_capture 1201766.275672181 808051.7091093946 1003191.6325033514 849902.8384432105 842353.3183882372 1079885.604807706 852686.4594569174 1109901.1669071948 861773.6331258059 1274663.151293349 983671.9850711154 842169.488668727 1112425.8634437907 736659.3465035233 967128.8937488201
recycled 490480.4202235345 479789.9103253582 440445.7320318611 446828.5377363439 447762.5077651251 445517.08387916797 429596.3479101871 408893.0541032648 398657.6790457736 431213.6220666149 436450.7284021297 400454.2952902605 410310.2666689191 401668.6244066237 404546.77891613403
reuse 101200.83203428687 140866.41353163216 132266.51618288556 128541.16690159542 129864.81612497305 127951.26955227382 138672.77275578727 146351.07763885823 169845.79871972647 133685.1215551842 125838.0146713444 153542.47663219288 144372.98609138353 166896.40395025891 169954.42726535938
barrier_injection 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807 20609.116809116807
msg_import_recharge 13196.176710926935 0.0 303.8110639575866 0.0 289.34615090076454 0.0 0.0 0.0 0.0 0.0 0.0 0.0 574.3557211579246 0.0 0.0
hyperion_recycled 56571.7106415748 66275.60983995888 59494.59510943044 61604.51620183155 62548.117622468875 60697.02659220461 59526.67369579678 56584.996646487874 54586.06173628971 54380.09974825666 54563.57930433391 54674.35385715314 54078.65018186238 54867.29784625748 55330.65477372833
imported_supply 1316000.0000000002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 574.3557211579246 0.0 0.0
imported_use 827349.9309660872 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 574.3557211579246 0.0 0.0
ocean_inflows 44170.46604917719 18258.443766876957 30291.166039508495 17767.493359184202 29710.64600965284 22553.257476695137 29245.68534666834 86678.8951296389 20853.42502383176 51932.96411986283 51939.10200983259 27723.059852870585 127147.7970030913 18592.34361268555 27432.834447202527
shortages 158448.6421995344 244767.6141991835 370161.8050175537 370313.02025776333 370549.8640944914 378303.40196848096 381285.21820942557 406681.59182318795 383987.74488537665 383663.14196262154 382370.653283624 388664.677990589 392078.1272422578 387057.8155980043 381650.865864171
surface_supplies 190.0 2380.0 2570.0 2570.0 2380.0 2570.0 2570.0 7208.712878739056 2608.0 7208.712878739055 2798.0 2797.9999999999995 2500.757429934905 2477.9056601636944 2797.9999999999995
swp_to_lacity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
