parameter 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
gw_pumping 503687.866859 503599.520522 489461.227758 488141.190227 491329.387355 487839.989105 415637.218401 245596.662995 289593.190877 226636.326627 154736.717941 151001.969448 172470.741449 150738.880909 152604.679961
gw_recharge 429497.6380164194 343058.4442811645 410238.27819351485 319833.9561732594 317193.4761620484 535871.6914977271 593739.791564972 578470.4306772132 428903.64459794393 606145.8220463232 663244.2906207636 540993.9809439881 664002.3358476127 421509.00754278584 632192.6935384537
sw_capture 500760.24811465706 437133.330463583 508053.98829773517 396739.53328439174 383152.6049145542 616789.0769320292 717963.4770454596 750068.2427172136 518840.7740753343 746879.2958380326 715004.9526898426 589381.2020841024 798919.791649615 469354.75871124474 706669.2847755571
recycled 181187.05781828886 181420.45686983565 181595.0700903599 180821.52759125238 181493.11505742805 181514.0477156473 130899.29253762065 125525.32694858366 126165.43624149784 129562.11382255504 265926.5305578299 250959.27918756462 246292.70064964736 239236.5420818896 231193.35251671344
reuse 92234.25532542742 92291.5355392675 92233.74037595667 92239.65323195525 92227.6200500408 92227.62005004082 33515.13952172798 25342.98068972579 25330.804327213347 28843.829784347938 142120.13605089934 143200.2007119435 142468.98891462735 142602.0 142613.42884913657
barrier_injection 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997
msg_import_recharge 0.0 0.0 0.0 0.0 0.0 0.0 9560.992559291548 8236.536985975676 119381.23241920436 4305.70555797174 56430.156761471815 84142.62115072635 5264.029698331082 79667.19525238677 22700.356818146964
hyperion_recycled 21515.94161851672 21498.758607603944 21477.837997971597 21563.7361736514 21514.710687531897 21559.332319342695 21523.6334794489 15683.0 15683.000000000002 15683.0 51708.0 51708.0 51708.0 51708.0 51708.0
imported_supply 694939.5475206613 576444.9462685132 768744.6700951231 542392.6001961251 638703.5676076955 335087.5825141019 636275.1710043917 779007.86587819 794416.5840877008 785991.3067684864 758768.7405585069 788125.2300000003 679634.4092662806 636220.8356803914 694553.9062527864
imported_use 694939.5475206613 576444.946268513 768744.6700951225 542392.600196125 638703.5676076958 335087.5825141019 636275.1710043913 779007.8658781893 794416.5840877008 785991.3067684867 758768.7405585066 788125.2299999994 679634.4092662802 636220.83568039 694553.9062527852
ocean_inflows 790130.9743280838 664118.4638806295 730082.1950703462 596143.6824082241 618284.5197473913 824928.1811965354 1355095.9394984776 1679854.228229286 723265.8250917871 1543334.211638166 474762.77891107753 393729.68744006864 682399.2051239053 244927.29940635356 574480.7971838029
shortages 87666.37906163398 91109.12202825188 93619.60930595739 95532.89192526645 92423.97293538305 92419.89247633283 92992.29721509982 91646.46742999821 89031.28712089195 89148.70310996435 365627.263776482 378372.47012360254 278056.10320650437 377994.44729242095 375273.8053491472
surface_supplies 10091.365007319295 10178.35075719298 10725.521292168716 9529.0 9339.0 10725.521292168716 10091.365007319297 9338.999999999998 11240.177155426029 8319.500629428789 8717.886299488011 9122.028570190056 8003.565638619834 6959.0 9339.0
swp_to_lacity 10873.412371134022 28944.760330578516 24478.0 18588.41237113402 36956.38016528926 40000.0 0.0 40000.0 40000.0 35223.69866689567 0.0 0.0 19693.577416489 0.0 0.0
jwpcp_recycled 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
total_energy 3510977067.036346 3606762265.058642 3177050608.341736 3617616142.5153675 5058934944.019044 4309274187.479078 4789878921.827506 4481927076.634059 4965022049.341881 4424375061.074986 4446117253.420275 4570749198.1394415 3667231025.310537 3524755233.0135684 3722575889.7396693
imported_source_energy 2209658709.072165 2398807225.2066116 1835677280.0 2441234341.0452647 3758658795.867769 3224037152.5432396 3675678537.319588 3411185125.4072876 3896876840.886008 3366468523.4637365 3431799624.3822327 3602930788.270653 2707057197.4869285 2616719309.0234385 2794230203.3144674
gw_source_energy 240391970.1440119 240397273.14561322 233347069.66354963 231915510.6143242 234405873.8846008 232160671.5176036 201622356.2858149 109363941.65874517 135068964.18736973 101646369.92544784 77083185.621156 84032702.93847239 104196392.5236529 83990962.7166227 69003420.30290791
ww_treatment_energy 674743057.7493688 622538166.1473159 693749029.5547336 620520164.0404297 642207835.0513626 538722214.1565423 594960107.5393739 638252083.5393071 645001369.0653718 642805747.2294102 637617387.7265083 635261719.9817563 602881299.4614596 581668477.5198519 581832243.9356229
conveyance_energy 386183330.070798 345019600.5591017 414277229.1234533 323946126.8153493 423662439.215312 314354149.2616935 317617920.68272763 323125926.0287194 288074875.20313007 313454420.4563915 299617055.69037896 248523986.9485578 253096135.8384971 242376483.7536535 277510022.18666863
ann_avg_energy_intensity 2921.5969991371294 3011.339073046036 2658.1380370269226 3031.5982552649834 4225.884386922907 3601.818414269456 4005.4383536020055 3743.706664646742 4136.25250850525 3687.9397134916635 4815.938421739105 5020.2431877971585 3628.1196451799415 3869.777960962127 4074.791196279349
