parameter 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
gw_pumping 502881.006419 502916.118239 486259.950623 489877.231155 489790.767628 489993.104187 430937.657409 241294.978752 281628.530623 226064.229338 170561.806119 108268.912211 171281.680188 150432.104479 151323.20008
gw_recharge 458885.20819869323 340353.1975188083 412985.3267481056 317870.3448659008 336494.7034217834 538015.0127809686 594924.1165373294 582019.535078191 426139.979334743 603746.323028231 674264.9207071455 551044.5713254632 672918.3538163487 516377.8212494462 632610.4276317181
sw_capture 517921.3263099821 419399.59414058906 510228.1212292511 401665.9543896837 411800.706105509 645299.4532160539 743882.8882786047 722396.1880719569 516930.1302960084 727473.1523466839 766484.1655295155 618026.5283237987 786310.0699968812 577435.4981098248 693881.5407266796
recycled 183647.03334739778 181114.2213979146 181218.55307769458 181429.687626706 181858.89663493753 181324.2276227015 131345.05876362772 125842.97684123264 129797.66322617256 128733.70662280278 231287.4074437913 289153.8072736692 242135.26489014688 231136.13268391803 235700.83338905193
reuse 92227.62005004082 92286.21428888003 92238.55974603684 92240.12833879856 92245.90564192177 92261.32263791072 33487.13227989045 25287.553566589297 29943.857305596564 28820.891267654926 139786.06837599998 143200.2007119435 142876.33079462734 142602.0 142602.0
barrier_injection 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997
msg_import_recharge 0.0 0.0 0.0 857.4919853449205 0.0 0.0 9211.25655421635 8378.199235285016 8935.430851512436 87547.60897920112 56073.302215814685 69572.61057003196 35062.960089249544 27088.11405616968 7104.455251936759
hyperion_recycled 21515.94161851672 21498.758607603937 21477.837997971597 21563.7361736514 21514.710687531897 21559.332319342695 21563.3525626489 15683.0 15683.0 15683.0 51708.0 51708.0 51708.0 51708.0 51708.0
imported_supply 734552.6923286864 763485.6014729665 484982.7987603306 610466.640793013 549125.9062492336 333711.57435141795 592829.6407795491 779007.8658781898 904448.2187976257 702610.1701206529 761146.9870458345 768588.6308317872 633597.0843807755 654069.266920061 710304.9262527863
imported_use 734552.6923286872 763485.6014729664 484982.7987603304 610466.6407930129 549125.9062492334 333711.574351418 592829.6407795489 779007.8658781899 904448.2187976262 702610.1701206533 761146.9870458337 768588.6308317865 633597.0843807742 654069.2669200593 710304.9262527854
ocean_inflows 794004.6494540492 654427.4447758785 734567.1909954264 608223.8381023345 613328.6783593587 879559.597384908 1338378.9824768621 1656653.3478986516 746040.8934542626 1377865.8498915615 596950.5272067029 4.6202330850064754e-10 662059.9566445908 374686.33484429587 357002.0517812014
shortages 90535.78215059181 93959.57932487546 94730.75040131838 93558.93604586142 94612.88610323929 90219.42620773116 92273.44543179439 89912.21039449009 91678.89024740602 94425.64474495243 261791.54964888343 469438.67882328335 275374.62865081656 374490.9397630958 375419.10353137914
surface_supplies 9529.0 9339.0 10466.275012198828 9529.0 10561.532624607165 10368.35075719298 10008.851923085587 10588.700016265102 9981.895061239642 7059.917233273827 9339.0 7291.627951502374 9913.918994596286 10535.521292168714 9448.20494950146
swp_to_lacity 36313.20874158644 40000.0 40000.0 37494.5862144948 40000.0 40000.0 26502.411033447803 40000.0 40000.0 37374.78304212661 0.0 40000.0 38367.13274260885 34178.63661923831 0.0
jwpcp_recycled 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
total_energy 2962665149.6538596 3075439739.4237323 2522523143.7780447 2987737175.919243 3944064359.2825913 3414883761.129201 3706700208.871259 3472897667.669277 3767763455.3737435 3374454510.4478273 3344957684.420964 3398770912.5730014 2824798456.2189693 2773127664.9561505 2859680276.681867
imported_source_energy 1633624131.132114 1724336587.6238391 1389452321.7705545 1764152922.4405766 2702333754.1548495 2333111196.5950413 2589361845.3999314 2399589499.3123894 2657907439.27204 2347594461.789231 2340162068.785642 2443167702.11334 1894342455.8530288 1865409449.0592146 1947091992.5417643
gw_source_energy 240020768.4138748 239762856.9635787 230324240.04413742 232287073.82022604 231818168.36986768 232441936.81512803 208656647.30356315 110887004.65857118 133263304.5920971 101621779.11855508 83035103.2881898 59026020.90987937 102894408.29258692 68324343.45840889 87089904.34179205
ww_treatment_energy 680582141.8369086 690607753.467832 594036630.57426 635169213.4078963 615182105.4556403 536148632.66529864 591259931.1401796 640066184.1893959 687296911.0349096 613416852.5441879 631533592.6767632 622985906.3384855 583080690.3299079 567172103.9803156 594434104.0934027
conveyance_energy 408438108.2709606 420732541.3684823 308709951.3890925 356127966.25054365 394730331.30223346 313181995.0537321 317421785.0275837 322354979.5089197 289295800.47469527 311821416.9958534 290226919.67036766 273591283.2112978 244480901.7434449 272221768.45821255 231064275.70490667
ann_avg_energy_intensity 2472.3893726724023 2573.8555410111267 2112.4794324739914 2499.618570086409 3300.6495562833975 2849.020566846545 3097.790133284084 2896.678837253564 3147.2585199454174 2825.204929838946 3256.876683777743 4147.890297445601 2787.2774000841973 3032.9109471405227 3130.7497689051456
