parameter 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
gw_pumping 502294.23684284376 500492.3605636016 490297.98107829195 537845.3000614116 490969.9255271303 489133.5002032524 503768.0270251148 564106.429567608 493554.60723063257 476500.2004129803 483682.7363900923 336186.4818225845 338860.8841287392 329775.418708092 316269.1055507711
gw_recharge 432925.08816795726 301372.8540146311 376231.5137331397 284130.8598454491 310704.4062343125 497628.702582993 544500.0704488759 534191.8300919688 303037.236564024 556449.9019920042 510683.99822124664 438886.6548984336 626199.5726249747 476064.69185661833 640626.2449315479
sw_capture 529920.8503752175 352053.66835872305 412969.8557434446 339730.8294114853 361583.5627743986 535553.0373634486 611679.2356657875 611328.4357118347 329958.58926118986 616790.3697059397 558641.9453206953 495434.08325378824 725852.3336380229 521540.1355303827 680404.0018061975
recycled 181184.69890700863 189007.47234087667 189163.2859757093 189190.1669787541 186705.21525017841 188376.09880151864 190304.853708508 189263.5115870717 189278.02899768564 189155.85933338365 189211.71818135236 256314.0261214894 238622.23075783215 216972.67892524437 262502.3001441387
reuse 92227.62005004082 100981.49102627546 100808.72091462922 107501.62005004082 100207.90936250893 100606.84332288812 107501.62005004082 107501.6200500408 107501.62005004083 105530.9184927269 107501.6200500408 136965.02762688315 136291.71408709043 145102.0 154376.9615949295
barrier_injection 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997 22000.000000999997
msg_import_recharge 0.0 0.0 1110.112599136568 0.0 0.0 0.0 765.2196225381348 0.0 0.0 0.0 0.0 0.0 485.760914599678 0.0 950.8463187501993
hyperion_recycled 21515.941618516717 29495.0 29495.0 29494.999999999996 29495.0 29495.0 29494.999999999996 29494.999999999996 29495.0 29494.999999999996 29494.999999999996 51708.0 51708.0 51708.0 60982.96159492951
imported_supply 506457.3450000001 296026.515 218415.36000000002 299135.85 454827.2734008885 399228.21 448951.38000000006 373596.92999999993 435057.0999999999 372496.4650000001 367897.2100000001 359484.37500000006 277136.22500000003 280931.8350000001 283782.6650000001
imported_use 506457.34499999974 296026.5149999997 218415.36000000002 299135.84999999986 454827.2734008887 399228.20999999985 448951.38000000035 373596.93 435057.1000000001 372496.4650000001 367897.2100000001 359484.3749999998 277136.22500000003 280931.83499999996 283782.6649999999
ocean_inflows 810083.4579377342 694630.4252122369 668883.4699562582 591017.6324293573 664635.3411235412 844921.6998645974 1099529.4033519304 1619572.4578681283 676272.521615056 1407286.8660190844 797377.0696655537 125790.65495652813 1.0550138540565968e-10 7.275957614183426e-10 1.1496013030409813e-09
shortages 92493.15209334173 93508.27920764398 92444.04388266473 93741.57238759432 89740.16126112445 96161.96431028291 97225.1093422551 96846.24942249474 99738.11556215725 96189.44180155509 95267.97898321836 517269.14017953246 473877.83544680494 623158.3036586583 564546.0631896812
surface_supplies 9529.0 9339.000000000002 9528.999999999998 9529.0 9339.0 9529.0 9711.0082491691 9529.0 9339.0 9529.0 9691.992461942475 9528.999999999998 9529.0 9501.992461942476 9196.839715084501
swp_to_lacity 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 39999.99999999999 40000.0
jwpcp_recycled 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
