parameter 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
gw_pumping 515814.84552529233 519047.5052883058 483286.3245551542 484549.3824301964 476713.6510396013 504594.54663621745 480243.613937806 482678.1214817589 479973.4752452478 484486.29690320604 485543.76398587925 485788.22927353875 493998.8977571228 495390.1819735312 487859.4782665624 468278.75941548595 512242.7201199626 525707.0298551363 510631.46854349936 625604.0682248248 658599.0855894272 637925.803179594 621075.4043670547 664452.245738454 660793.7207556696
gw_recharge 443998.49622003763 335580.19534687616 464138.14429862844 396152.7304395766 370835.2649182944 456808.83114832715 516724.19994964375 519657.19721085386 418301.51103526633 622075.3701081593 520023.8875581651 480254.7193302856 620460.1326205576 411707.0678377754 499081.8887609064 551300.8505979639 385241.7407537459 542385.2746923708 542793.8224500458 724273.3860461864 684618.0408598272 501155.9790478852 655250.5568102448 646632.2555020243 733355.8513636845
sw_capture 805391.7549709391 682219.5692238872 821094.2660570266 751437.055005363 719832.2277077668 834650.5025013915 922692.2498090246 1005906.8455995051 776336.4630680982 1099333.698388492 953196.8995249876 894061.5031786126 1120205.3631818267 806326.8690246342 927787.6844187991 954163.5589025089 738624.2312900292 944735.944438826 919153.924791228 1173279.4219912635 935885.1563796764 727618.1408861788 955038.8532344111 877365.6957118378 1073930.2055952137
recycled 356676.19206627144 356764.27180758695 346760.0597529048 345779.17520262755 344842.30008702993 350677.85368140775 344053.8223315348 344965.84333547 346189.88694277074 344857.18444183265 316539.54161435226 303958.04596787714 322301.99492670386 313768.2054810667 327992.31227542245 341928.0251775621 353123.0500453204 346411.0955671499 337886.61433555465 334921.19130864745 340342.93278241524 342306.2754950221 347665.26297998463 345365.8923549341 338694.2384054463
reuse 86454.73452266392 68094.7456315509 76025.70569745997 67501.45596822494 71131.5760471864 68240.38839123366 72770.33409203899 66981.78961943758 69679.53510647346 68086.42399200452 46547.76753999881 42128.952459140375 50770.50122667798 69752.51935167803 55343.57148714972 54267.16094448359 65617.62184523781 62451.75742579869 59087.057514528104 54082.956921698344 61301.341466554586 74073.09579709178 74175.01828089988 64325.53002857251 62538.82244950055
barrier_injection 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
msg_import_recharge 7301.984395575564 11814.883196312123 4269.41796445866 6893.4970882220205 11058.491287347946 7022.166444760454 5499.9920082759945 4250.977191217562 11055.962254090402 3865.1446996622076 5007.235686431362 7073.0604246523735 2963.0237371465073 13097.629258444073 7517.145614849411 7077.971574849333 17080.93589385497 6426.159287975903 12283.497628118268 12189.400685418062 8134.738538547821 14236.673057867281 5923.725170995696 8279.477477869435 143489.89242609762
hyperion_recycled 51708.0 51708.0 51708.0 51708.0 51708.0 51708.0 51708.0 51708.0 51708.0 51708.0 44448.12517643952 41456.65910831213 45469.90471629114 44994.37216424461 49945.225432941006 48819.2747947336 47465.93106759793 47389.98849826117 48244.05516113552 46222.411976566385 48598.649243369095 51708.0 50900.461402173256 49560.19161584043 50065.95884721835
imported_supply 365054.14731533674 457269.3515531685 429500.28364665376 446263.9078630571 470957.4252416128 427089.009028082 421669.10530391696 493203.4205811685 455717.28296585655 358350.40437237895 361067.162764585 457316.52717208344 460685.95850156114 422801.0277118717 346483.09916709526 475086.31679286907 534055.5702284705 399355.87166616047 506674.09838585753 710221.2495651211 492487.6875498291 537836.3873552004 504693.9115233197 612472.0769803077 681162.7105841261
imported_use 365054.14731533645 457269.35155316826 429500.2836466534 446263.907863057 470957.4252416127 427089.0090280819 421669.10530391696 493203.4205811683 455717.2829658562 358350.40437237854 361067.16276458476 457316.52717208344 460685.9585015609 422801.0277118716 346483.09916709515 475086.31679286866 534055.57022847 399355.8716661602 506674.0983858574 710221.2495651214 492487.6875498289 537836.3873552004 504693.9115233198 612472.0769803076 681162.710584126
ocean_inflows 538959.5750732464 531884.1908548846 530561.7754488124 525294.3968551302 519819.6000253047 571779.8989788604 532624.9491207435 605256.6147930435 531142.4121866375 582598.3466992631 544309.1544962879 556610.2019621835 525817.5295435361 514794.20591810177 526505.9364994719 607380.8830867134 552253.4561154172 567648.9973593031 570492.7020783544 633786.897269978 559136.7334804812 541198.5559857431 587143.6898793454 533463.5458577749 566195.0199409802
shortages 115413.31567482644 110783.42832822425 143243.96135355858 143124.6942171361 141712.7798123218 130403.53754078357 148504.8959169435 147935.19414958783 144411.2241973561 143937.65397912945 139786.88895976363 145364.00569532724 133621.54703230542 138100.95194635852 130981.53046666217 115109.74061854133 90526.42661878403 90575.80967279524 110381.26938819319 90538.3947367662 90974.40520436 90538.3947367662 90538.3947367662 90538.3947367662 90538.3947367662
surface_supplies 7857.0 7667.0 7857.0 7667.0 7667.0 8862.33379929517 9339.0 9529.0 7583.98420136811 9529.0 8631.360098603349 8452.882924127898 9529.0 7667.000000000001 7856.999999999999 7857.0 7438.999999999999 9413.610908329267 7857.0 9529.0 8639.250809725916 2380.0 5957.784994736858 2798.0 7710.443103596428
swp_to_lacity 40000.0 40000.0 40000.0 31723.726314615982 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 39999.99999999999 40000.0 40000.0 40000.0 40000.0 29416.55553716269 40000.0 40000.0 40000.0 40000.0 40000.0
