StudyUnit,StudyArea,ProjectID,USGSStatio,PSCode,SampleDate,Latitude,Longitude,PSCode_Num,Retailer N,Retailer_1,Elevation,NAME1,NodeCodes_,MET_MEMBER,RET_TYPE,xcoord,ycoord,flag
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-15,3.409E+14,1910007-001,6/23/2005,34.15188889,-117.9203056,1910007,Azusa  City of,City of Azusa,690,CITY OF AZUSA,CTY_AZU,,CITY RETAILER,6585778.318,1877666.984,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-21,3.406E+14,1910007-010,7/12/2005,34.11277778,-117.9154722,1910007,Azusa  City of,City of Azusa,502,CITY OF AZUSA,CTY_AZU,,CITY RETAILER,6587252.639,1863434.93,0
Coastal Los Angeles basins,Central Basin,CLABU-07,3.354E+14,na,11/16/2006,33.90788889,-118.1212778,na,Bellflower Municipal Water System,Bellflower Municipal Water System,0,BELLFLOWER MUNICIPAL WATER SYSTEM,CTY_BEL4,,CITY RETAILER,6524866.769,1788883.103,0
Coastal Los Angeles basins,Central Basin,CLABCB-02,3.35209E+14,1910018-015,8/15/2006,33.86911111,-118.1398056,1910018,Bellflower-Somerset Mutual Water Company,Bellflower-Somerset Mutual Water Company,60,BELLFLOWER-SOMERSET MUTUAL WATER COMPANY,MWC_BLS,,MUTUAL WATER COMPANY,6519225.166,1774778.259,0
Coastal Los Angeles basins,Hollywood,CLABDA-03,3.404E+14,1910156-014,8/9/2006,34.07308333,-118.4026944,1910156,Beverly Hills  City of,City of Beverly Hills,318,CITY OF BEVERLY HILLS,CTY_BHL,YES,CITY RETAILER,6439716.339,1849222.893,0
Coastal Los Angeles basins,Hollywood,CLABDA-05,3.404E+14,1910156-012,11/14/2006,34.08147222,-118.3904444,1910156,Beverly Hills  City of,City of Beverly Hills,234,CITY OF BEVERLY HILLS,CTY_BHL,YES,CITY RETAILER,6443437.918,1852261.112,0
San Gabriel & San Fernando Valleys,San Fernando,ULASF-07,3.411E+14,1910179-028,5/26/2005,34.19108333,-118.3449722,1910179,Burbank  City of,City of Burbank,658,CITY OF BURBANK,CTY_BUR,YES,CITY RETAILER,6457343.997,1892100.013,0
San Gabriel & San Fernando Valleys,San Fernando,ULASFU-05,3.413E+14,na,7/19/2005,34.23322222,-118.3819167,na,Burbank  City of,City of Burbank,2432,CITY OF LOS ANGELES,CTY_LAX2,YES,CITY RETAILER,6446229.968,1907475.404,0
Coastal Los Angeles basins,West Basin,CLABWB-08,3.349E+14,na,11/14/2006,33.82130556,-118.2443333,na,California Water Service Co- Dominguez,California Water Service Co- Dominguez,0,CAL WATER SERVICE CO. - DOMINGUEZ,IOU_CWS2,,INVESTOR OWNED UTILITY,6487450.917,1757441.287,0
Coastal Los Angeles basins,Central Basin,CLABCB-18,3.401E+14,na,11/15/2006,34.02411111,-118.1788889,na,California Water Service Co- East LA,California Water Service Co- East LA,0,CAL WATER SERVICE CO. - EAST LA,IOU_CWS3,,INVESTOR OWNED UTILITY,6507460.849,1831204.898,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-14,3.407E+14,1900035-002,6/20/2005,34.12902778,-117.9434444,1900035,California-American Water Company Duarte,California-American Water Company Duarte,554,CAL-AM WATER CO. - DUARTE,IOU_CA2,,INVESTOR OWNED UTILITY,6578782.324,1869342.663,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-18,3.41E+14,1910035-009,7/12/2005,34.17436111,-118.0968611,1910035,California-American Water Company Duarte,California-American Water Company Duarte,972,KINNELOA ID,IRR_KIN2,,IRRIGATION DISTRICT,6532369.089,1885849.593,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-08,3.40835E+14,1910139-004,6/15/2005,34.14319444,-118.0988611,1910139,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,758,,CTY_LAX2,,,6531752.994,1874508.067,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-09,3.40743E+14,1910186-001,6/15/2005,34.1285,-117.9760833,1910186,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,450,CAL-AM WATER CO. - DUARTE,IOU_CA2,,INVESTOR OWNED UTILITY,6568904.724,1869146.64,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASG-10,3.4062E+14,1910139-631,6/15/2005,34.11411111,-118.1016111,1910139,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,509,SAN GABRIEL CWD,CWD_SGB1,,COUNTY WATER DISTRICT,6530910.192,1863924.941,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASGU-03,3.408E+14,1910186-009,6/15/2005,34.14238889,-117.9384444,1910186,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,615,CAL-AM WATER CO. - DUARTE,IOU_CA2,,INVESTOR OWNED UTILITY,6580292.517,1874205.905,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASGU-05,3.40607E+14,1910139-011,6/22/2005,34.10180556,-118.064,1910139,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,384,,IOU_CA2,,,6542291.773,1859437.344,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASGU-07,3.40715E+14,1910139-017,7/12/2005,34.12084137,-118.099236,1910139,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,562,CAL-AM WATER CO. - SAN MARINO,IOU_CA5,,INVESTOR OWNED UTILITY,6531631.525,1866373.488,0
San Gabriel & San Fernando Valleys,San Gabriel,ULASGU-08,3.40554E+14,1910139-021,7/13/2005,34.09858333,-118.0517222,1910139,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,371,CAL-AM WATER CO. - SAN MARINO,IOU_CA4,,INVESTOR OWNED UTILITY,6546008.061,1858262.574,0
Coastal Los Angeles basins,Central Basin,CLABCB-01,3.40023E+14,1910052-003,8/9/2006,34.00636111,-118.3349444,1910052,California-American Water Company Los Angeles District,California-American Water Company Los Angeles District,134,CITY OF LOS ANGELES,CTY_LAX5,YES,CITY RETAILER,6460152.477,1824866.214,0
