rchid,type,parmname,value1
1002,-1,USIF,0.000000000000e+000
1002,-2,LUIF,7.091761433954e+005
1002,-1,USBP,0.000000000000e+000
1002,-2,LUBP,0.000000000000e+000
1002,-3,PSIF,0.000000000000e+000
1002,-4,PSWD,0.000000000000e+000
1002,-4,PSDT,0.000000000000e+000
1002,0,IVOL,7.091761433954e+005
1002,1,RO,7.091761433954e+005
1002,1,BP,0.000000000000e+000
1003,-1,USIF,0.000000000000e+000
1003,-2,LUIF,4.985651623318e+005
1003,-1,USBP,0.000000000000e+000
1003,-2,LUBP,0.000000000000e+000
1003,-3,PSIF,0.000000000000e+000
1003,-4,PSWD,0.000000000000e+000
1003,-4,PSDT,0.000000000000e+000
1003,0,IVOL,4.985651623318e+005
1003,1,RO,4.985651623318e+005
1003,1,BP,0.000000000000e+000
1004,-1,USIF,0.000000000000e+000
1004,-2,LUIF,4.957814917502e+006
1004,-1,USBP,0.000000000000e+000
1004,-2,LUBP,0.000000000000e+000
1004,-3,PSIF,0.000000000000e+000
1004,-4,PSWD,0.000000000000e+000
1004,-4,PSDT,0.000000000000e+000
1004,0,IVOL,4.957814917502e+006
1004,1,RO,4.957814917502e+006
1004,1,BP,0.000000000000e+000
1006,-1,USIF,0.000000000000e+000
1006,-2,LUIF,6.363810120588e+006
1006,-1,USBP,0.000000000000e+000
1006,-2,LUBP,0.000000000000e+000
1006,-3,PSIF,0.000000000000e+000
1006,-4,PSWD,0.000000000000e+000
1006,-4,PSDT,0.000000000000e+000
1006,0,IVOL,6.363810120588e+006
1006,1,RO,6.363810120588e+006
1006,1,BP,0.000000000000e+000
1008,-1,USIF,0.000000000000e+000
1008,-2,LUIF,9.787730623365e+005
1008,-1,USBP,0.000000000000e+000
1008,-2,LUBP,0.000000000000e+000
1008,-3,PSIF,0.000000000000e+000
1008,-4,PSWD,0.000000000000e+000
1008,-4,PSDT,0.000000000000e+000
1008,0,IVOL,9.787730623365e+005
1008,1,RO,9.787730623365e+005
1008,1,BP,0.000000000000e+000
1009,-1,USIF,0.000000000000e+000
1009,-2,LUIF,3.424573240444e+005
1009,-1,USBP,0.000000000000e+000
1009,-2,LUBP,0.000000000000e+000
1009,-3,PSIF,0.000000000000e+000
1009,-4,PSWD,0.000000000000e+000
1009,-4,PSDT,0.000000000000e+000
1009,0,IVOL,3.424573240444e+005
1009,1,RO,3.424573240444e+005
1009,1,BP,0.000000000000e+000
1010,-1,USIF,0.000000000000e+000
1010,-2,LUIF,3.601391012058e+006
1010,-1,USBP,0.000000000000e+000
1010,-2,LUBP,0.000000000000e+000
1010,-3,PSIF,0.000000000000e+000
1010,-4,PSWD,0.000000000000e+000
1010,-4,PSDT,0.000000000000e+000
1010,0,IVOL,3.601391012058e+006
1010,1,RO,3.601391012058e+006
1010,1,BP,0.000000000000e+000
1011,-1,USIF,0.000000000000e+000
1011,-2,LUIF,5.128904583646e+005
1011,-1,USBP,0.000000000000e+000
1011,-2,LUBP,0.000000000000e+000
1011,-3,PSIF,0.000000000000e+000
1011,-4,PSWD,0.000000000000e+000
1011,-4,PSDT,0.000000000000e+000
1011,0,IVOL,5.128904583646e+005
1011,1,RO,5.128904583646e+005
1011,1,BP,0.000000000000e+000
1012,-1,USIF,0.000000000000e+000
1012,-2,LUIF,1.184552962858e+007
1012,-1,USBP,0.000000000000e+000
1012,-2,LUBP,0.000000000000e+000
1012,-3,PSIF,0.000000000000e+000
1012,-4,PSWD,0.000000000000e+000
1012,-4,PSDT,0.000000000000e+000
1012,0,IVOL,1.184552962858e+007
1012,1,RO,1.196970265863e+007
1012,1,BP,0.000000000000e+000
1013,-1,USIF,0.000000000000e+000
1013,-2,LUIF,5.180124940366e+006
1013,-1,USBP,0.000000000000e+000
1013,-2,LUBP,0.000000000000e+000
1013,-3,PSIF,0.000000000000e+000
1013,-4,PSWD,0.000000000000e+000
1013,-4,PSDT,0.000000000000e+000
1013,0,IVOL,5.180124940366e+006
1013,1,RO,5.180124940366e+006
1013,1,BP,0.000000000000e+000
1014,-1,USIF,0.000000000000e+000
1014,-2,LUIF,2.711014268429e+006
