x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3040009,33.8181,807,11702.89,31893,0.227208775,3.28,6,66.91252391,1.16595757,40.10177799,35.99,61.42,2.59,7.15,7.56,70.25,18.75,94.8,65.4615962,7.19,64.93,27.88,7.434944238,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2509995,33.7961006,115,1845.117,54950,0.314343155,5.04,6,66.99322128,1.159613729,44.04279929,23.1,70.52,6.38,0,10.52,89.48,19.78,48.7,42.39429572,0,66.95,33.04,4.347826087,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.3030014,33.8223,601,25758.8,37227,0.096471876,4.12,6,66.92045212,1.16091609,40.10177799,34.73,61.24,4.02,2.41,8.69,72.52,20.07,81.7,65.4615962,12.65,58.4,28.95,4.825291181,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.3040009,33.824501,358,12594.66,28017,0.082654051,2.88,6,66.92231293,1.157286286,40.10177799,23.15,59.56,17.29,25.55,1.34,36.7,36.26,43.58,65.4615962,2.23,49.73,48.05,2.51396648,0,68.70594159,22.23055764,62.29262817,35.7052698,0,58.44842786
-118.2610016,33.8026009,400,14736.91,63750,0.124313703,4.58,6,66.99045902,1.163208246,41.70755292,21.83,72.93,5.24,6.44,2.35,87.01,32.42,25,64.17312985,0,5,95,0,0,66.51560926,22.23055764,38.31857303,78.25812559,0,87.21716133
-118.302002,33.8325005,651,19135.27,52264,0.123698257,3.63,6,66.94530996,1.151481271,32.29698259,29.62,64.01,6.38,6.51,0,57.88,18.55,67.74,17.12534401,4.92,46.7,48.38,5.069124424,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3069992,33.8334999,695,12728.61,50262,0.131750417,2.41,6,66.92908054,1.151063681,32.29698259,23.79,68.04,8.17,13.24,12.34,38.16,31.1,63.6,17.12534401,0,49.5,50.5,11.65467626,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8277016,699,13900.6,54495,0.15618026,3.08,6,66.92730484,1.155396461,32.29698259,26.21,59.7,14.09,13.04,3.78,62.64,19.13,55.22,17.12534401,0,36.91,63.09,5.865522175,0,69.48640483,22.23055764,54.72121741,63.9318397,41.97695035,42.9033206
-118.3040009,33.8376999,237,8969.691,95855,0.09498654,3.58,6,66.9421572,1.145466447,51.02566436,23,60.09,16.9,33.45,0.12,28.17,24.57,16.88,29.85989492,0,30.38,69.63,15.18987342,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
-118.302002,33.839901,223,8792.132,61688,0.08507607,3.29,6,66.95544891,1.143439412,51.02566436,13.1,64.71,22.19,20.72,1.2,57.22,21.96,32.74,29.85989492,0,27.35,72.64,2.69058296,0,70.83333333,44.54863716,89.55968567,95.10886715,94.43705674,58.44842786
-118.3639984,34.2560005,602,1461.738,111250,1.10827,2.67,9,66.18530673,1.032598853,16.30077441,10.12,73.21,16.67,79.26,0.12,13.58,37.43,9.47,40.08006005,9.3,36.71,53.99,11.46179402,75.51542273,61.17824773,69.09227307,43.42023201,31.09813821,0,77.28474875
-118.3040009,33.8638,352,6869.09,47500,0.140775556,2.75,8,66.98494263,1.118505001,49.82060075,16.13,55.22,28.65,27.71,1.96,10.96,48.4,16.48,63.88541406,1.99,24.14,73.86,0,0,72.01661631,74.56864216,97.21841088,90.39129063,98.3820922,83.39700264
-118.288002,33.8764992,635,10354.68,58453,0.191121349,3.1,8,67.06161291,1.114661098,67.67334749,26.58,63.93,9.5,3.89,12.08,57.86,29.04,43.31,74.26820115,6.77,46.78,46.46,3.937007874,0,73.275428,74.56864216,91.96706998,87.80372357,98.3820922,41.05201293
-118.4800034,34.3190994,426,4349.808,82353,0.39840841,3.57,9,65.83823262,1.220682383,35.66416968,41.72,50.72,7.56,13.16,6.46,73.57,42.61,34.04,73.17988491,18.31,81.69,0,0,88.81252997,49.10624371,60.35258815,97.3680928,43.54686021,0,81.4869233
